External Library Name, Link to License, License Name, Binaries using the license, URL
Qt 6, https://doc.qt.io/qt-6.5/licensing.html, LGPL-3.0-only, lib64/qt/lib/libQt6DBusAndroidEmu.so.6 lib64/qt/plugins/imageformats/libqsvgAndroidEmu.so lib64/qt/plugins/imageformats/libqtgaAndroidEmu.so lib64/qt/plugins/imageformats/libqicnsAndroidEmu.so lib64/qt/lib/libQt6SvgWidgetsAndroidEmu.so.6 lib64/qt/lib/libQt6WidgetsAndroidEmu.so.6 lib64/qt/lib/libxcb-cursor.so.0 lib64/qt/plugins/platforms/libqxcbAndroidEmu.so lib64/qt/lib/libQt6SvgAndroidEmu.so.6 lib64/qt/lib/libQt6CoreAndroidEmu.so.6 lib64/qt/plugins/imageformats/libqgifAndroidEmu.so ./emulator lib64/qt/lib/libxcb-randr.so.0 lib64/qt/lib/libxkbcommon-x11.so.0 lib64/qt/plugins/platforms/libqvncAndroidEmu.so lib64/qt/lib/libfontconfig.so.1 lib64/qt/plugins/platforms/libqlinuxfbAndroidEmu.so lib64/qt/lib/libX11-xcb.so.1 lib64/qt/plugins/iconengines/libqsvgiconAndroidEmu.so lib64/qt/plugins/imageformats/libqicoAndroidEmu.so lib64/qt/plugins/platforminputcontexts/libcomposeplatforminputcontextpluginAndroidEmu.so lib64/qt/lib/libxcb-util.so.1 lib64/qt/lib/libxcb-shm.so.0 lib64/qt/lib/libxcb-keysyms.so.1 lib64/qt/lib/libXdmcp.so.6 lib64/qt/plugins/platforminputcontexts/libibusplatforminputcontextpluginAndroidEmu.so lib64/qt/lib/libfreetype.so.6 lib64/qt/plugins/platforms/libqminimalAndroidEmu.so lib64/qt/lib/libxcb-shape.so.0 lib64/qt/lib/libQt6XcbQpaAndroidEmu.so.6 lib64/qt/lib/libQt6NetworkAndroidEmu.so.6 lib64/qt/plugins/imageformats/libqjpegAndroidEmu.so lib64/qt/lib/libxcb-sync.so.1 lib64/qt/lib/libxcb-render-util.so.0 lib64/qt/plugins/imageformats/libqwbmpAndroidEmu.so lib64/qt/lib/libxcb-render.so.0 lib64/qt/plugins/imageformats/libqtiffAndroidEmu.so lib64/qt/plugins/imageformats/libqwebpAndroidEmu.so lib64/qt/lib/libxcb-image.so.0 lib64/qt/lib/libxcb-xfixes.so.0 lib64/qt/lib/libxcb-xkb.so.1 lib64/qt/lib/libQt6GuiAndroidEmu.so.6 lib64/qt/lib/libXau.so.6 lib64/qt/plugins/platforms/libqoffscreenAndroidEmu.so lib64/qt/lib/libxkbcommon.so.0 lib64/qt/lib/libxcb-icccm.so.4, https://android.googlesource.com/platform/external/qt5/+/refs/heads/upstream-6.5.3
lz4, https://android.googlesource.com/platform/external/lz4/+/refs/heads/emu-master-dev/LICENSE, BSD-2-Clause, ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qsn ./qemu/linux-x86_64/qemu-system-x86_64-headless ./netsimd ./qemu/linux-x86_64/qemu-system-x86_64 ./crashreport ./qemu/linux-x86_64/qemu-system-i386-headless ./nimble_bridge android-emu-shared.so android-webrtc.so ./qemu-img ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu/linux-x86_64/qemu-system-aarch64 emugl_common.so ./emulator-check android-emu-metrics.so android-emu-agents.so ./emulator gfxstream_backend.so android-emu-curl.so ./qemu/linux-x86_64/qemu-system-armel, https://android.googlesource.com/platform/external/lz4/+/refs/heads/emu-master-dev
ffmpeg, https://github.com/FFmpeg/FFmpeg/blob/master/LICENSE.md, GPL-2.0-or-later, ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qsn ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-x86_64 ./qemu/linux-x86_64/qemu-system-i386-headless ./nimble_bridge android-webrtc.so android-emu-shared.so gfxstream_backend.so ./qemu-img ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-armel ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-armel-headless emugl_common.so ./emulator-check, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/ffmpeg-3.4.5.tar.xz
LibXml2, https://github.com/GNOME/libxml2/blob/mainline/Copyright, MIT, ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qsn ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-x86_64 ./qemu/linux-x86_64/qemu-system-i386-headless ./nimble_bridge android-webrtc.so android-emu-shared.so ./qemu-img ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu/linux-x86_64/qemu-system-aarch64 emugl_common.so ./emulator-check android-emu-metrics.so ./emulator gfxstream_backend.so ./qemu/linux-x86_64/qemu-system-armel, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/libxml2-2.9.2.tar.gz
dtc, https://kernel.googlesource.com/pub/scm/utils/dtc/dtc.git/+/refs/heads/master/README.license, GPL-2.0-or-later, ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qsn ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-x86_64 ./qemu/linux-x86_64/qemu-system-i386-headless ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-armel ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-armel-headless ./emulator-check, https://kernel.googlesource.com/pub/scm/utils/dtc/dtc.git/+/refs/heads/master/
upb_textformat_lib, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qsn ./qemu/linux-x86_64/qemu-system-x86_64-headless ./netsimd ./qemu/linux-x86_64/qemu-system-x86_64 ./qemu/linux-x86_64/qemu-system-i386-headless ./nimble_bridge android-webrtc.so android-emu-shared.so ./qemu-img ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu/linux-x86_64/qemu-system-aarch64 emugl_common.so ./emulator-check ./netsim gfxstream_backend.so ./qemu/linux-x86_64/qemu-system-armel, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
libselinux, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libselinux/NOTICE, CC-PDDC OR UNKNOWN, ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qsn ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-x86_64 ./crashreport ./qemu/linux-x86_64/qemu-system-i386-headless ./nimble_bridge android-emu-shared.so android-webrtc.so ./qemu-img ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu/linux-x86_64/qemu-system-aarch64 emugl_common.so ./emulator-check android-emu-metrics.so android-emu-agents.so ./emulator gfxstream_backend.so ./qemu/linux-x86_64/qemu-system-armel, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libselinux
keymaster-3, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libkeymaster3/NOTICE, Apache-2.0, ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qsn ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-x86_64 ./qemu/linux-x86_64/qemu-system-i386-headless ./nimble_bridge android-webrtc.so android-emu-shared.so gfxstream_backend.so ./qemu-img ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-armel ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-armel-headless emugl_common.so ./emulator-check, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libkeymaster3
Qt Gui, https://doc.qt.io/qt-6.5/qtGui-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-x86_64 ./qemu/linux-x86_64/qemu-system-armel ./qemu/linux-x86_64/qemu-system-aarch64, https://android.googlesource.com/platform/external/qt5/+/refs/heads/upstream-6.5.3
qemu-system, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/LICENSES/LICENSE.APACHE2, Apache-2.0, ./qemu/linux-x86_64/qemu-system-aarch64-headless ./qemu/linux-x86_64/qemu-system-x86_64-headless ./qemu/linux-x86_64/qemu-system-i386 ./qemu/linux-x86_64/qemu-system-x86_64 ./qemu/linux-x86_64/qemu-system-armel ./qemu/linux-x86_64/qemu-system-aarch64 ./qemu/linux-x86_64/qemu-system-armel-headless ./qemu/linux-x86_64/qemu-system-i386-headless, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev
